Model,Params,Epoch,TrainLoss,ValLoss,P,R,Acc,F1,FPR,FNR
EDRN_MHA_U256_D16,5938177,1,0.6801947366732818,0,0.5787259615384616,0.596100278551532,0.586338630806846,0.5872846470498552,0.42318140658013886,0.403899721448468
EDRN_MHA_U256_D16,5938177,2,0.6216931686951563,0,0.7112021857923497,0.8056329309811204,0.7425122249388753,0.7554781599187346,0.31904618170842136,0.1943670690188796
EDRN_MHA_U256_D16,5938177,3,0.42545333905861926,0,0.8146863255276091,0.8721757969668833,0.8389364303178484,0.8424514200298954,0.19348022939933596,0.12782420303311667
EDRN_MHA_U256_D16,5938177,4,0.27694630651519847,0,0.9210019267822736,0.8876508820798514,0.906937652811736,0.9040189125295508,0.07425294295200724,0.11234911792014857
EDRN_MHA_U256_D16,5938177,5,0.16820941020089847,0,0.9695061319191249,0.9052924791086351,0.9391809290953546,0.9362996158770807,0.02776939329912466,0.0947075208913649
EDRN_MHA_U256_D16,5938177,6,0.1143059770648296,0,0.9570747217806042,0.9316001238006809,0.94559902200489,0.9441656210790464,0.04074856625415032,0.0683998761993191
EDRN_MHA_U256_D16,5938177,7,0.08801414230122016,0,0.9202453987730062,0.9749303621169917,0.9459046454767727,0.9467989179440938,0.08240265620283731,0.025069637883008356
EDRN_MHA_U256_D16,5938177,8,0.056696129138939656,0,0.9170280427869326,0.9817393995666976,0.9471271393643031,0.9482810164424514,0.08662843344400845,0.018260600433302382
EDRN_MHA_U256_D16,5938177,9,0.035041290639828034,0,0.9759846301633045,0.9433611884865367,0.9605745721271394,0.959395656279509,0.022638092363416844,0.056638811513463325
EDRN_MHA_U256_D16,5938177,10,0.03780261548952414,0,0.9688090737240076,0.9517177344475395,0.9610330073349633,0.9601873536299765,0.02988228191971023,0.04828226555246054
EDRN_MHA_U256_D16,5938177,11,0.026136244548699603,0,0.9880398671096345,0.9204580625193438,0.9552261613691931,0.9530523954494472,0.010866284334440085,0.07954193748065615
EDRN_MHA_U256_D16,5938177,12,0.014056183061956499,0,0.8656073256127121,0.9947384710615909,0.9211491442542787,0.9256912442396313,0.15061877452460007,0.005261528938409161
EDRN_MHA_U256_D16,5938177,13,0.02118861541384831,0,0.9749137660708687,0.9622407923243578,0.9691320293398533,0.9685358255451714,0.024147298520977967,0.03775920767564222
EDRN_MHA_U256_D16,5938177,14,0.0052195210485549,0,0.975571562793611,0.964097802537914,0.9703545232273839,0.9698007471980075,0.023543616057953517,0.03590219746208604
EDRN_MHA_U256_D16,5938177,15,0.0045937296219143225,0,0.9655066214967662,0.9702878365831012,0.9682151589242054,0.9678913244828651,0.03380621792936915,0.029712163416898793
EDRN_MHA_U256_D16,5938177,16,0.002003559270143831,0,0.9941920054663478,0.9006499535747446,0.9483496332518337,0.9451120493666775,0.005131300935707818,0.09935004642525534
