Model,Params,Epoch,TrainLoss,ValLoss,P,R,Acc,F1,FPR,FNR
EDRN-Full,5938177,1,0.6793296761237658,0,0.569883290634785,0.6196224079232435,0.5812958435207825,0.5937129300118624,0.4560821008149713,0.3803775920767564
EDRN-Full,5938177,2,0.6347271112295297,0,0.7115446114486729,0.6886412875270814,0.7084352078239609,0.6999056307014785,0.27226079082402654,0.3113587124729186
EDRN-Full,5938177,3,0.45668965921952176,0,0.7902478888586216,0.8978644382544104,0.8319070904645477,0.8406259055346277,0.23241774826441292,0.1021355617455896
EDRN-Full,5938177,4,0.2702754819049285,0,0.9526911210147412,0.8601052305787682,0.909841075794621,0.9040338321405335,0.04165408994868699,0.13989476942123183
EDRN-Full,5938177,5,0.16689436897062337,0,0.9819341126461212,0.8579387186629527,0.9220660146699267,0.9157581764122894,0.015393902807123452,0.14206128133704735
EDRN-Full,5938177,6,0.12559780492805517,0,0.9426829268292682,0.9569792633859486,0.9500305623471883,0.9497772999539241,0.05674615152429822,0.043020736614051376
EDRN-Full,5938177,7,0.08201374149379823,0,0.9311967068509261,0.9801918910554008,0.9544621026894865,0.9550663449939686,0.07063084817386055,0.019808108944599195
EDRN-Full,5938177,8,0.06039059971674131,0,0.9699418228829993,0.9288146084803467,0.9506418092909535,0.9489328063241107,0.028071234530636886,0.07118539151965336
EDRN-Full,5938177,9,0.08207898672956687,0,0.9829691516709511,0.9467657072113896,0.9656173594132029,0.964527825949866,0.015997585270147902,0.05323429278861034
EDRN-Full,5938177,10,0.044838455541489214,0,0.9766266582438408,0.9569792633859486,0.9674511002444988,0.9667031420978583,0.022336251131904617,0.043020736614051376
EDRN-Full,5938177,11,0.02070382515487906,0,0.9414374445430346,0.9851439182915506,0.9624083129584352,0.9627949183303085,0.05976456383942046,0.014856081708449397
EDRN-Full,5938177,12,0.015580578545968119,0,0.9445103857566766,0.9851439182915506,0.9640892420537898,0.9643993334343282,0.056444310292785994,0.014856081708449397
EDRN-Full,5938177,13,0.020489372707043704,0,0.9803225806451613,0.9405756731662024,0.961338630806846,0.9600379087032065,0.018412315122245698,0.059424326833797586
EDRN-Full,5938177,14,0.008290857437084643,0,0.9627821842586943,0.9767873723305478,0.96989608801956,0.9697342141650023,0.036824630244491396,0.02321262766945218
EDRN-Full,5938177,15,0.007796099261143424,0,0.9597213809812235,0.9808108944599195,0.9702017114914425,0.9701515383437931,0.040144883791125865,0.01918910554008047
EDRN-Full,5938177,16,0.006402357521717652,0,0.9863857374392221,0.9418136799752399,0.9648533007334963,0.9635845471817606,0.012677331723513431,0.05818632002476014
EDRN-Full,5938177,17,0.015267968016604964,0,0.9568236714975845,0.9808108944599195,0.9686735941320294,0.9686688063579398,0.04316329610624811,0.01918910554008047
EDRN-Full,5938177,18,0.006085461255189819,0,0.9697717458359038,0.9730733519034355,0.9717298288508558,0.9714197435501313,0.02958044068819801,0.02692664809656453
EDRN-Full,5938177,19,0.005078317224755525,0,0.9704615384615385,0.9761683689260291,0.9735635696821516,0.9733065884894306,0.02897675822517356,0.023831631073970908
EDRN-Full,5938177,20,0.0007957085096257707,0,0.9790362953692116,0.968430826369545,0.9741748166259169,0.9737046833670453,0.020223362511319048,0.031569173630454965
EDRN-Full,5938177,21,0.0008185213519945697,0,0.9820811065702609,0.9668833178582482,0.9749388753056235,0.974422956955708,0.017204950196196802,0.03311668214175178
EDRN-Full,5938177,22,0.0001592850389547843,0,0.9779228855721394,0.9733828536056949,0.9760085574572127,0.9756475880254382,0.021430727437367944,0.02661714639430517
EDRN-Full,5938177,23,0.00010317840192678537,0,0.9775910364145658,0.9721448467966574,0.9752444987775061,0.9748603351955307,0.02173256866888017,0.027855153203342618
EDRN-Full,5938177,24,0.0005008564474932287,0,0.9631995133819952,0.9801918910554008,0.9717298288508558,0.9716214143273508,0.03652278901297917,0.019808108944599195
EDRN-Full,5938177,25,0.0016393548093079657,0,0.9820472440944882,0.965026307644692,0.9740220048899756,0.973462379019669,0.017204950196196802,0.03497369235530796
EDRN-Full,5938177,26,0.0008045142925976296,0,0.9761166253101737,0.9740018570102136,0.9753973105134475,0.9750580945003873,0.02324177482644129,0.025998142989786442
EDRN-Full,5938177,27,9.740527573853797e-05,0,0.9755569306930693,0.9758588672237697,0.9760085574572127,0.9757078755995667,0.02384545728946574,0.02414113277623027
EDRN-Full,5938177,28,2.356868539594031e-05,0,0.9779639975170702,0.975239863819251,0.9769254278728606,0.9766000309933365,0.021430727437367944,0.024760136180748994
EDRN-Full,5938177,29,9.621469368644634e-06,0,0.9773573200992556,0.975239863819251,0.976619804400978,0.9762974438419829,0.022034409900392394,0.024760136180748994
EDRN-Full,5938177,30,6.2197640974003525e-06,0,0.9788688626476072,0.9749303621169917,0.9772310513447433,0.9768956427353078,0.02052520374283127,0.025069637883008356
EDRN-Full,5938177,31,4.908082737769676e-06,0,0.9788622940627915,0.9746208604147323,0.9770782396088019,0.9767369727047146,0.02052520374283127,0.025379139585267718
EDRN-Full,5938177,32,4.7277065544466705e-06,0,0.9788688626476072,0.9749303621169917,0.9772310513447433,0.9768956427353078,0.02052520374283127,0.025069637883008356
EDRN-Full,5938177,33,4.0190711974201595e-06,0,0.9788688626476072,0.9749303621169917,0.9772310513447433,0.9768956427353078,0.02052520374283127,0.025069637883008356
EDRN-Full,5938177,34,3.6002807348722854e-06,0,0.9785714285714285,0.975239863819251,0.9772310513447433,0.9769028057665479,0.020827044974343494,0.024760136180748994
EDRN-Full,5938177,35,3.3393442541077652e-06,0,0.9788754271512892,0.975239863819251,0.9773838630806846,0.9770542635658914,0.02052520374283127,0.024760136180748994
EDRN-Full,5938177,36,3.065169842933266e-06,0,0.9788754271512892,0.975239863819251,0.9773838630806846,0.9770542635658914,0.02052520374283127,0.024760136180748994
EDRN-Full,5938177,37,2.969254504355726e-06,0,0.9785714285714285,0.975239863819251,0.9772310513447433,0.9769028057665479,0.020827044974343494,0.024760136180748994
EDRN-Full,5938177,38,2.756084642695756e-06,0,0.9785714285714285,0.975239863819251,0.9772310513447433,0.9769028057665479,0.020827044974343494,0.024760136180748994
EDRN-Full,5938177,39,2.6606769748783477e-06,0,0.9785714285714285,0.975239863819251,0.9772310513447433,0.9769028057665479,0.020827044974343494,0.024760136180748994
EDRN-Full,5938177,40,2.5499462376151664e-06,0,0.9785714285714285,0.975239863819251,0.9772310513447433,0.9769028057665479,0.020827044974343494,0.024760136180748994
EDRN-Full,5938177,41,2.504547952552317e-06,0,0.9785714285714285,0.975239863819251,0.9772310513447433,0.9769028057665479,0.020827044974343494,0.024760136180748994
EDRN-Full,5938177,42,2.4346297438936604e-06,0,0.9785714285714285,0.975239863819251,0.9772310513447433,0.9769028057665479,0.020827044974343494,0.024760136180748994
EDRN-Full,5938177,43,2.4237041753412295e-06,0,0.9785714285714285,0.975239863819251,0.9772310513447433,0.9769028057665479,0.020827044974343494,0.024760136180748994
EDRN-Full,5938177,44,2.3632010263204743e-06,0,0.9785780813411984,0.9755493655215104,0.9773838630806846,0.977061376317421,0.020827044974343494,0.024450634478489632
EDRN-Full,5938177,45,2.316352838359028e-06,0,0.9785780813411984,0.9755493655215104,0.9773838630806846,0.977061376317421,0.020827044974343494,0.024450634478489632
EDRN-Full,5938177,46,2.3264757166211543e-06,0,0.9785714285714285,0.975239863819251,0.9772310513447433,0.9769028057665479,0.020827044974343494,0.024760136180748994
EDRN-Full,5938177,47,2.328117102041898e-06,0,0.9785714285714285,0.975239863819251,0.9772310513447433,0.9769028057665479,0.020827044974343494,0.024760136180748994
EDRN-Full,5938177,48,2.2686832892304665e-06,0,0.9785714285714285,0.975239863819251,0.9772310513447433,0.9769028057665479,0.020827044974343494,0.024760136180748994
EDRN-Full,5938177,49,2.276598065210377e-06,0,0.9785714285714285,0.975239863819251,0.9772310513447433,0.9769028057665479,0.020827044974343494,0.024760136180748994
EDRN-Full,5938177,50,2.2676774984977155e-06,0,0.9785714285714285,0.975239863819251,0.9772310513447433,0.9769028057665479,0.020827044974343494,0.024760136180748994
EDRN-NoMHA,4887553,1,0.6895241221556296,0,0.8341584158415841,0.5215103683070257,0.7125611246943765,0.6417825176156923,0.10111681255659523,0.4784896316929743
EDRN-NoMHA,4887553,2,0.6623954566625448,0,0.7717358828801912,0.7994428969359332,0.7842298288508558,0.7853450896929158,0.23060670087533958,0.20055710306406685
EDRN-NoMHA,4887553,3,0.5940695983859209,0,0.7848504137492043,0.7632311977715878,0.7797982885085575,0.7738898477953868,0.2040446725022638,0.23676880222841226
EDRN-NoMHA,4887553,4,0.38244834255713683,0,0.8744989207523898,0.8777468276075518,0.8774449877750611,0.8761198640716713,0.1228493812254754,0.12225317239244816
EDRN-NoMHA,4887553,5,0.26070252834604335,0,0.9017993290637389,0.9151965335809347,0.9089242053789731,0.9084485407066052,0.09719287654693631,0.0848034664190653
EDRN-NoMHA,4887553,6,0.21073396532581404,0,0.8807339449541285,0.9507892293407614,0.9121332518337408,0.91442178895669,0.12556595230908543,0.04921077065923862
